du_times_1e-3_mm,point_id,x_raw,y_raw,x_norm_global,y_norm_to_failure
1.5,0,-0.085711042155453,-0.18784530386740306,0.07613610756403513,0.01318681318681342
1.5,1,0.1330129417997427,-0.055248618784530246,0.24980094644332607,0.11868131868131883
1.5,2,0.3106410353439795,0.07734806629834257,0.39083602493803055,0.22417582417582424
1.5,3,0.46774010444259445,0.20441988950276246,0.5155712461503793,0.32527472527472534
1.5,4,0.5939983349731326,0.3370165745856353,0.6158191241643506,0.43076923076923074
1.5,5,0.7151290395822296,0.46685082872928185,0.7119957935852173,0.5340659340659342
1.5,6,0.8122682206917433,0.6022099447513812,0.7891234132051379,0.6417582417582418
1.5,7,0.914563308862484,0.7320441988950278,0.8703447757830691,0.7450549450549453
1.5,8,1.0048531749035041,0.8674033149171273,0.9420341020055583,0.8527472527472529
1.5,9,1.0778589268145011,1.0497237569060773,1.0,0.9978021978021978
2.0,0,-0.1405055627033982,-0.18784530386740306,0.03262976038458649,0.01318681318681342
2.0,1,-0.05189964428971472,-0.06077348066298338,0.10298204762262447,0.11428571428571435
2.0,2,0.02641338076137134,0.07182320441988943,0.1651618718545782,0.21978021978021975
2.0,3,0.08760311814122451,0.20441988950276246,0.2137459625929542,0.32527472527472534
2.0,4,0.1419246196927268,0.3425414364640884,0.25687673702396147,0.43516483516483523
2.0,5,0.19285930522969813,0.4696132596685084,0.2973184105761286,0.5362637362637365
2.0,6,0.2369257549383183,0.6022099447513812,0.3323067678209269,0.6417582417582418
2.0,7,0.2741618103383033,0.7292817679558011,0.36187185457823184,0.7428571428571429
2.0,8,0.31480360251267686,0.861878453038674,0.3941410651243145,0.8483516483516484
2.0,9,0.3451714220843109,0.9944751381215471,0.4182528355742507,0.953846153846154
2.0,10,0.34836903050026496,1.0607734806629834,0.4207917073537144,1.0
2.5,0,-0.17815787482025283,-0.19337016574585641,0.0027341696086531798,0.008791208791208769
2.5,1,-0.11698705820025734,-0.055248618784530246,0.051303237437091566,0.11868131868131883
2.5,2,-0.07975100280027247,0.07182320441988943,0.08086832419439645,0.21978021978021975
2.5,3,-0.045958525694391905,0.20441988950276246,0.10769924134304813,0.32527472527472534
2.5,4,-0.015628547642473345,0.34806629834254155,0.13178096597310898,0.43956043956043966
2.5,5,0.007908877620525279,0.47513812154696133,0.15046946593555174,0.5406593406593407
2.5,6,0.03142738212366608,0.6077348066298344,0.16914294298805677,0.6461538461538463
2.5,7,0.05154014985241806,0.7348066298342542,0.18511229625178394,0.7472527472527473
2.5,8,0.07161507606145473,0.8729281767955802,0.2010516036956359,0.8571428571428572
2.5,9,0.08811397865738285,1.0552486187845305,0.2141515811612709,1.0
3.0,0,-0.17817679558011054,-0.18784530386740306,0.0027191466987155294,0.01318681318681342
3.0,1,-0.14438431847422994,-0.055248618784530246,0.029550063847367237,0.11868131868131883
3.0,2,-0.12254976159842584,0.0690607734806632,0.04688650191542099,0.21758241758241778
3.0,3,-0.10415878301672599,0.19889502762430933,0.06148877037482159,0.32087912087912085
3.0,4,-0.09092371149625372,0.33425414364640904,0.0719972958762112,0.42857142857142877
3.0,5,-0.07596685082872928,0.46685082872928185,0.08387290618192744,0.5340659340659342
3.0,6,-0.06444410807538026,0.6022099447513812,0.09302185833395933,0.6417582417582418
3.0,7,-0.054624233709225756,0.7348066298342542,0.1008187485916022,0.7472527472527473
3.0,8,-0.04478543858321349,0.861878453038674,0.10863066175918278,0.8483516483516484
3.0,9,-0.03515477181563614,1.0497237569060773,0.11627732291744909,0.9978021978021978
4.0,0,-0.17812003330053738,-0.20441988950276246,0.0027642154285285026,0.0
4.0,1,-0.17178157874820255,-0.055248618784530246,0.007796890257642914,0.11868131868131883
4.0,2,-0.1654052826761523,0.0828729281767957,0.012859610906632625,0.2285714285714287
4.0,3,-0.15213236963596466,0.20718232044198914,0.0233981822278975,0.32747252747252764
4.0,4,-0.14746840233103764,0.3453038674033151,0.027101329527529482,0.43736263736263753
4.0,5,-0.14280443502611068,0.4834254143646409,0.030804476827161417,0.5472527472527473
4.0,6,-0.13814046772118366,0.6215469613259671,0.034507624126793396,0.6571428571428574
4.0,7,-0.13346704003632787,0.7569060773480664,0.03821828288139414,0.7648351648351649
4.0,8,-0.13053432225838196,0.9005524861878454,0.040546833921730606,0.8791208791208793
4.0,9,-0.13106410353439796,1.0552486187845305,0.0401261924434763,1.0
5.0,0,-0.1816014531143571,-0.18784530386740306,0.0,0.01318681318681342
5.0,1,-0.17691856504957246,-0.055248618784530246,0.0037181702095695646,0.11868131868131883
5.0,2,-0.1757265571785363,0.09668508287292821,0.004664613535641867,0.23956043956043963
5.0,3,-0.16935972148641487,0.23756906077348083,0.009719822729662776,0.35164835164835184
5.0,4,-0.16813933247559226,0.3812154696132597,0.010688800420641466,0.465934065934066
5.0,5,-0.163494285930523,0.5248618784530389,0.014376924810335753,0.5802197802197805
5.0,6,-0.16233065919927347,0.685082872928177,0.015300833771501536,0.707692307692308
5.0,7,-0.16112919094830852,0.8342541436464092,0.01625478855254262,0.8263736263736268
5.0,8,-0.16186710058275944,1.0497237569060773,0.01566889506497408,0.9978021978021978
