du_times_1e-3_mm,point_id,x_raw,y_raw,N_cycle_est,a_mm_est
1.5,0,-0.085711042155453,-0.18784530386740306,685.2249680763161,0.00659340659340671
1.5,1,0.1330129417997427,-0.055248618784530246,2248.2085179899345,0.059340659340659414
1.5,2,0.3106410353439795,0.07734806629834257,3517.5242244422748,0.11208791208791212
1.5,3,0.46774010444259445,0.20441988950276246,4640.141215353414,0.16263736263736267
1.5,4,0.5939983349731326,0.3370165745856353,5542.372117479155,0.21538461538461537
1.5,5,0.7151290395822296,0.46685082872928185,6407.962142266955,0.2670329670329671
1.5,6,0.8122682206917433,0.6022099447513812,7102.110718846241,0.3208791208791209
1.5,7,0.914563308862484,0.7320441988950278,7833.102982047622,0.37252747252747265
1.5,8,1.0048531749035041,0.8674033149171273,8478.306918050024,0.42637362637362647
1.5,9,1.0778589268145011,1.0497237569060773,9000.0,0.4989010989010989
2.0,0,-0.1405055627033982,-0.18784530386740306,293.6678434612784,0.00659340659340671
2.0,1,-0.05189964428971472,-0.06077348066298338,926.8384286036203,0.057142857142857176
2.0,2,0.02641338076137134,0.07182320441988943,1486.4568466912037,0.10989010989010987
2.0,3,0.08760311814122451,0.20441988950276246,1923.7136633365878,0.16263736263736267
2.0,4,0.1419246196927268,0.3425414364640884,2311.890633215653,0.21758241758241761
2.0,5,0.19285930522969813,0.4696132596685084,2675.8656951851576,0.26813186813186823
2.0,6,0.2369257549383183,0.6022099447513812,2990.760910388342,0.3208791208791209
2.0,7,0.2741618103383033,0.7292817679558011,3256.8466912040867,0.37142857142857144
2.0,8,0.31480360251267686,0.861878453038674,3547.269586118831,0.4241758241758242
2.0,9,0.3451714220843109,0.9944751381215471,3764.275520168256,0.476923076923077
2.0,10,0.34836903050026496,1.0607734806629834,3787.12536618343,0.5
2.5,0,-0.17815787482025283,-0.19337016574585641,24.60752647787862,0.004395604395604384
2.5,1,-0.11698705820025734,-0.055248618784530246,461.72913693382407,0.059340659340659414
2.5,2,-0.07975100280027247,0.07182320441988943,727.814917749568,0.10989010989010987
2.5,3,-0.045958525694391905,0.20441988950276246,969.2931720874332,0.16263736263736267
2.5,4,-0.015628547642473345,0.34806629834254155,1186.0286937579808,0.21978021978021983
2.5,5,0.007908877620525279,0.47513812154696133,1354.2251934199658,0.27032967032967037
2.5,6,0.03142738212366608,0.6077348066298344,1522.286486892511,0.32307692307692315
2.5,7,0.05154014985241806,0.7348066298342542,1666.0106662660555,0.37362637362637363
2.5,8,0.07161507606145473,0.8729281767955802,1809.4644332607231,0.4285714285714286
2.5,9,0.08811397865738285,1.0552486187845305,1927.364230451438,0.5
3.0,0,-0.17817679558011054,-0.18784530386740306,24.472320288439764,0.00659340659340671
3.0,1,-0.14438431847422994,-0.055248618784530246,265.9505746263051,0.059340659340659414
3.0,2,-0.12254976159842584,0.0690607734806632,421.9785172387889,0.10879120879120889
3.0,3,-0.10415878301672599,0.19889502762430933,553.3989333733942,0.16043956043956042
3.0,4,-0.09092371149625372,0.33425414364640904,647.9756628859009,0.21428571428571438
3.0,5,-0.07596685082872928,0.46685082872928185,754.856155637347,0.2670329670329671
3.0,6,-0.06444410807538026,0.6022099447513812,837.196725005634,0.3208791208791209
3.0,7,-0.054624233709225756,0.7348066298342542,907.3687373244197,0.37362637362637363
3.0,8,-0.04478543858321349,0.861878453038674,977.675955832645,0.4241758241758242
3.0,9,-0.03515477181563614,1.0497237569060773,1046.4959062570417,0.4989010989010989
4.0,0,-0.17812003330053738,-0.20441988950276246,24.877938856756522,0.0
4.0,1,-0.17178157874820255,-0.055248618784530246,70.17201231878623,0.059340659340659414
4.0,2,-0.1654052826761523,0.0828729281767957,115.73649815969362,0.11428571428571435
4.0,3,-0.15213236963596466,0.20718232044198914,210.5836400510775,0.16373626373626382
4.0,4,-0.14746840233103764,0.3453038674033151,243.91196574776535,0.21868131868131876
4.0,5,-0.14280443502611068,0.4834254143646409,277.24029144445274,0.27362637362637365
4.0,6,-0.13814046772118366,0.6215469613259671,310.5686171411406,0.3285714285714287
4.0,7,-0.13346704003632787,0.7569060773480664,343.96454593254725,0.38241758241758245
4.0,8,-0.13053432225838196,0.9005524861878454,364.92150529557546,0.43956043956043966
4.0,9,-0.13106410353439796,1.0552486187845305,361.1357319912867,0.5
5.0,0,-0.1816014531143571,-0.18784530386740306,0.0,0.00659340659340671
5.0,1,-0.17691856504957246,-0.055248618784530246,33.463531886126084,0.059340659340659414
5.0,2,-0.1757265571785363,0.09668508287292821,41.981521820776805,0.11978021978021981
5.0,3,-0.16935972148641487,0.23756906077348083,87.47840456696498,0.17582417582417592
5.0,4,-0.16813933247559226,0.3812154696132597,96.1992037857732,0.232967032967033
5.0,5,-0.163494285930523,0.5248618784530389,129.39232329302178,0.29010989010989024
5.0,6,-0.16233065919927347,0.685082872928177,137.7075039435138,0.353846153846154
5.0,7,-0.16112919094830852,0.8342541436464092,146.29309697288357,0.4131868131868134
5.0,8,-0.16186710058275944,1.0497237569060773,141.0200555847667,0.4989010989010989
